Size,Pivots: 1,Pivots: 2,Pivots: 3,Pivots: 4,Pivots: 5,Pivots: 6,Pivots: 7,Pivots: 8,Pivots: 9,Pivots: 10,Pivots: 11,Pivots: 12,Pivots: 13,Pivots: 14,Pivots: 15,Pivots: 16,Pivots: 17,Pivots: 18,Pivots: 19,Pivots: 20,Pivots: 21,Pivots: 22,Pivots: 23,Pivots: 24,Pivots: 25,Pivots: 26,Pivots: 27,Pivots: 28,Pivots: 29,Pivots: 30,Pivots: 31,Pivots: 32,Pivots: 33,Pivots: 34,Pivots: 35,Pivots: 36,Pivots: 37,Pivots: 38,Pivots: 39,Pivots: 40,Pivots: 41,Pivots: 42,Pivots: 43,Pivots: 44,Pivots: 45,Pivots: 46,Pivots: 47,Pivots: 48,Pivots: 49
1000,0.002480399969499558,0.0017168999765999615,0.0014269000384956598,0.0012833999935537577,0.0011834999895654619,0.0011513999779708683,0.0011236999998800457,0.0010849999962374568,0.0010896000312641263,0.0010993999894708395,0.001054299995303154,0.001019700022879988,0.0010720999562181532,0.0010429999674670398,0.0010312999947927892,0.0010220999829471111,0.0010720000136643648,0.0010171000030823052,0.0010711000068113208,0.001049300015438348,0.0010808000224642456,0.0010776999988593161,0.0010372999822720885,0.0010647000162862241,0.0010299999848939478,0.0010950000141747296,0.0010646999580785632,0.001076199987437576,0.0010849000536836684,0.0011101000127382576,0.0011044999700970948,0.0010760999866761267,0.001054599997587502,0.0011119999689981341,0.0010884000221267343,0.0010257000103592873,0.0010640000109560788,0.00106380000943318,0.0010981999803334475,0.0010782000026665628,0.0010389999952167273,0.0011249000090174377,0.0010987999849021435,0.0011298999888822436,0.0010285999742336571,0.0010642999550327659,0.0010528999846428633,0.0010833999840542674,0.0011345999664627016
2000,0.005404600000474602,0.0037738000391982496,0.003120600013062358,0.002840000030118972,0.0025887999800033867,0.002462000004015863,0.0024112999672070146,0.002368899993598461,0.0023373999865725636,0.002307699993252754,0.0024161000037565827,0.0022526999819092453,0.002328000031411648,0.002264199953060597,0.002398399985395372,0.0023051000316627324,0.0023147999891079962,0.0023428999702446163,0.0022888999665156007,0.002393399947322905,0.0023053999757394195,0.002474399982020259,0.002403699967544526,0.0025116000324487686,0.0024161000037565827,0.002558400039561093,0.002462000004015863,0.0025093999574892223,0.0025192000321112573,0.002529799996409565,0.002500399947166443,0.0025728000327944756,0.002598399994894862,0.002480299968738109,0.0025889999815262854,0.002677000011317432,0.002717799972742796,0.0026291999965906143,0.0025189000298269093,0.002577300008852035,0.002630000002682209,0.002623800013680011,0.002628499991260469,0.0026671000523492694,0.002606299996841699,0.0025619000080041587,0.0027421999839134514,0.002700100012589246,0.002751499996520579
3000,0.008995699987281114,0.005821100028697401,0.004935499979183078,0.004391599970404059,0.004032100026961416,0.00393070001155138,0.003856999974232167,0.0037264000275172293,0.0036263999645598233,0.003645799995865673,0.0036554000107571483,0.003588699968531728,0.0036196999717503786,0.0037128999829292297,0.0035617999965325,0.0037530999979935586,0.0034710000036284328,0.0036758999922312796,0.003680700028780848,0.0036533999955281615,0.003660699992906302,0.0037456999998539686,0.003975400002673268,0.003667399985715747,0.003754999954253435,0.003937100002076477,0.003852299996651709,0.003801700018811971,0.003923200012650341,0.00414689996978268,0.004016400023829192,0.004098400007933378,0.004037000006064773,0.004040000028908253,0.004159900010563433,0.004177900031208992,0.004434600006788969,0.004252100014127791,0.004143500002101064,0.004229699959978461,0.0044092999887652695,0.004178700037300587,0.004309599986299872,0.0043249999871477485,0.004254999978002161,0.0044784999918192625,0.00443440000526607,0.004453399975318462,0.0045486000017262995
4000,0.012259899987839162,0.008337500039488077,0.00697700004093349,0.00620940001681447,0.005835400021169335,0.0056375000276602805,0.005367300007492304,0.00508050003554672,0.005058799986727536,0.005104299983941019,0.004936199984513223,0.005024300015065819,0.005018500029109418,0.004990799992810935,0.005076700006611645,0.004995200026314706,0.005009600019548088,0.005063199962023646,0.005075799999758601,0.005095100030303001,0.005146700015757233,0.005295399983879179,0.005257499986328185,0.0050199999823234975,0.0054432000033557415,0.0053184000425972044,0.00549229996977374,0.00542709999717772,0.005642700009047985,0.005755399994086474,0.005513400014024228,0.005584699974860996,0.0054348999983631074,0.005835600022692233,0.006245700002182275,0.005843499966431409,0.005939399998169392,0.006016600003931671,0.006297099986113608,0.0062556000193580985,0.006229299993719906,0.006187700026202947,0.006092800002079457,0.005905499972868711,0.006314500002190471,0.006514800013974309,0.006192200002260506,0.006598000007215887,0.00618570001097396
5000,0.01550049998331815,0.010536800022237003,0.008692000003065914,0.007891500019468367,0.007592499954625964,0.007232600008137524,0.006804000004194677,0.006825899996329099,0.006681400001980364,0.006654399971012026,0.006487100035883486,0.006219700037036091,0.006450299988500774,0.006650499999523163,0.006326899980194867,0.006622100016102195,0.006457499985117465,0.00669229996856302,0.006438600015826523,0.006808500038459897,0.00668210000731051,0.006446800020057708,0.006677099969238043,0.006674800009932369,0.006869500037282705,0.006893399986438453,0.006716400035656989,0.006970299989916384,0.00691759999608621,0.007314199989195913,0.007123599993065,0.007285500003490597,0.00743180001154542,0.007186900009401143,0.0073024999583140016,0.007479800027795136,0.007710399979259819,0.007569099951069802,0.007288699969649315,0.007776300015393645,0.007873099995777011,0.007957900001201779,0.008206899976357818,0.008173099951818585,0.008222699980251491,0.008558300032746047,0.008897799998521805,0.008747700019739568,0.008640100015327334
6000,0.02040340000530705,0.013393900007940829,0.010927500028628856,0.009738099994137883,0.009484899987000972,0.009354199981316924,0.00871909997658804,0.008342800021637231,0.008480500022415072,0.008462800004053861,0.008211300009861588,0.00797089998377487,0.008221300027798861,0.00798450002912432,0.007998899964150041,0.008003299997653812,0.008493299945257604,0.008727499982342124,0.00829979998525232,0.008552499988581985,0.00844820000929758,0.008172800007741898,0.008394999953452498,0.008609899959992617,0.008422400045674294,0.00860820000525564,0.008324299997184426,0.008443900034762919,0.008496499969623983,0.008551999984774739,0.008678100013639778,0.008857999986503273,0.00876519997837022,0.008913199999369681,0.00945280003361404,0.009199800028000027,0.009477000043261796,0.009389600018039346,0.009642600023653358,0.010346300026867539,0.01090149994706735,0.01141129998723045,0.010560999973677099,0.009653299988713115,0.010642900015227497,0.010435900010634214,0.010675299970898777,0.010488100000657141,0.01022170000942424
7000,0.0224078000173904,0.015180799993686378,0.012691100011579692,0.011549599992576987,0.010765499959234148,0.010156699980143458,0.009919099975377321,0.00981249997857958,0.009577199991326779,0.009693800006061792,0.009747800009790808,0.009552799980156124,0.00970589998178184,0.009377299982588738,0.009521399973891675,0.009201300039421767,0.009736100037116557,0.009651000029407442,0.00995189999230206,0.009613599977456033,0.009980699978768826,0.009795400022994727,0.009659499977715313,0.010057600040454417,0.009883199993055314,0.01038759999210015,0.010100700019393116,0.01045430003432557,0.010361300024669617,0.010184099955949932,0.010206500010099262,0.010642000008374453,0.010905800038017333,0.010481200006324798,0.01070310000795871,0.011099800001829863,0.011158899986185133,0.01105430000461638,0.011509000032674521,0.011388500046450645,0.011608100030571222,0.011684599972795695,0.012036900036036968,0.012148200010415167,0.011993799998890609,0.012431000010110438,0.012595800042618066,0.013223999994806945,0.013072600006125867
8000,0.026844699983485043,0.017314800003077835,0.01549169997451827,0.0137817999930121,0.012453099945560098,0.011873299954459071,0.011646600032690912,0.011799899977631867,0.01142609998350963,0.011225600028410554,0.010916300001554191,0.011397199996281415,0.011410899984184653,0.01142469997284934,0.01118589995894581,0.011732100043445826,0.011723199975676835,0.011516299971845001,0.011480100045446306,0.011701199982780963,0.011882000020705163,0.011625999992247671,0.011809399991761893,0.01195650000590831,0.011519699997734278,0.012145400047302246,0.01196690002689138,0.01200529997004196,0.012606700009200722,0.012006100034341216,0.012572700041346252,0.012549600040074438,0.012707199959550053,0.012664000038057566,0.012377700011711568,0.012978800048585981,0.01242029998684302,0.012659500003792346,0.013872999988961965,0.013626800035126507,0.014236299961339682,0.013552699994761497,0.014183600025717169,0.015311499999370426,0.014984000008553267,0.014964999980293214,0.014935100043658167,0.014305800024885684,0.014262699987739325
9000,0.0302456000354141,0.02104149997467175,0.01664590003201738,0.017868799972347915,0.015101000026334077,0.014248899999074638,0.013805900001898408,0.013364500016905367,0.012912800011690706,0.01253279997035861,0.012560800008941442,0.012673099990934134,0.012525000027380884,0.01254179998068139,0.012599900015629828,0.012541499978397042,0.013096600014250726,0.01272570004221052,0.012974599958397448,0.013307499990332872,0.01321129995631054,0.013455399952363223,0.01316720002796501,0.013369399996008724,0.013240500004030764,0.013310300011653453,0.014032500039320439,0.01302919996669516,0.013749399979133159,0.01383659994462505,0.014459900034125894,0.013938300020527095,0.014366599963977933,0.014545800047926605,0.014467599976342171,0.014195700001437217,0.01462650002213195,0.015235700004268438,0.015038399957120419,0.014722000050824136,0.015249899995978922,0.015240999986417592,0.016617299988865852,0.015555799996946007,0.01598220004234463,0.016489700006786734,0.016648400051053613,0.01635550003265962,0.01657629996770993
10000,0.034489800047595054,0.022985099989455193,0.018983000016305596,0.016917600005399436,0.01652000000467524,0.015536499966401607,0.014935099985450506,0.01476869999896735,0.01441299996804446,0.014624700008425862,0.014176900032907724,0.01431390002835542,0.014717999962158501,0.014094799989834428,0.014297999965492636,0.013945899961981922,0.014656200015451759,0.014540900010615587,0.014922999951522797,0.01416989997960627,0.014757399971131235,0.014742999977897853,0.015559200022835284,0.015327599947340786,0.015156399982515723,0.01613340002950281,0.016110200027469546,0.016379699984099716,0.017483900010120124,0.016001799958758056,0.01594640000257641,0.017424800025764853,0.01770089997444302,0.01626190001843497,0.015512000012677163,0.016323200019542128,0.01815259997965768,0.017887099995277822,0.01699969999026507,0.016982500033918768,0.017249899974558502,0.017111900029703975,0.017874600016511977,0.018220099969767034,0.01782090001506731,0.017626200045924634,0.017085400002542883,0.017326299974229187,0.01918969996040687
